crew_id,rank,credit_period,credit_timezone,pairing_credit_hours,ground_credit_hours,credited_hours,ground_direct_count,ground_csv_fallback_count,ground_unmatched_count,target_min,target_prefer,target_max,credit_window,gdo_days,leave_days
1204,FA,2026-07,America/Vancouver,82.5,0.0,82.5,2,0,0,80.0,85.0,85.0,min_to_prefer,0,0
1208,FA,2026-07,America/Vancouver,59.83,24.0,83.83,7,6,0,80.0,85.0,85.0,min_to_prefer,6,0
1224,FA,2026-07,America/Vancouver,63.83,20.0,83.83,5,3,0,80.0,85.0,85.0,min_to_prefer,3,0
1226,FA,2026-07,America/Vancouver,63.0,20.0,83.0,8,4,0,80.0,85.0,85.0,min_to_prefer,4,0
1227,FA,2026-07,America/Vancouver,9.17,16.0,25.17,12,26,0,80.0,85.0,85.0,below_min,2,24
1231,FA,2026-07,America/Vancouver,84.0,0.0,84.0,1,0,0,80.0,85.0,85.0,min_to_prefer,0,0
1254,FA,2026-07,America/Vancouver,84.0,0.0,84.0,5,0,0,80.0,85.0,85.0,min_to_prefer,0,0
13085,FA,2026-07,America/Vancouver,83.92,0.0,83.92,1,0,0,80.0,85.0,85.0,min_to_prefer,0,0
13086,FA,2026-07,America/Vancouver,82.58,0.0,82.58,6,0,0,80.0,85.0,85.0,min_to_prefer,0,0
13089,FA,2026-07,America/Vancouver,64.25,20.0,84.25,11,4,0,80.0,85.0,85.0,min_to_prefer,4,0
13090,FA,2026-07,America/Vancouver,44.33,40.0,84.33,11,6,0,80.0,85.0,85.0,min_to_prefer,6,0
13091,FA,2026-07,America/Vancouver,82.58,0.0,82.58,0,0,0,80.0,85.0,85.0,min_to_prefer,0,0
13097,FA,2026-07,America/Vancouver,82.5,0.0,82.5,1,0,0,80.0,85.0,85.0,min_to_prefer,0,0
13100,FA,2026-07,America/Vancouver,79.83,0.0,79.83,0,0,0,80.0,85.0,85.0,below_min,0,0
13401,FA,2026-07,America/Vancouver,83.67,0.0,83.67,1,0,0,80.0,85.0,85.0,min_to_prefer,0,0
13403,FA,2026-07,America/Vancouver,79.5,0.0,79.5,2,0,0,80.0,85.0,85.0,below_min,0,0
13404,FA,2026-07,America/Vancouver,79.5,0.0,79.5,2,0,0,80.0,85.0,85.0,below_min,0,0
