seniority,rank,crew_id,assigned,pref_slots,award_got,award_wanted,avoid_got,avoid_wanted,award_in_assigned,award_in_assigned_ratio,avoid_in_assigned,avoid_in_assigned_ratio,total_work_hours
2,IFD,96,8,0,0,0,0,0,0,0.0,0,0.0,84.05
11,IFD,400,7,0,0,0,0,0,0,0.0,0,0.0,114.4
12,FA,395,8,0,0,0,0,0,0,0.0,0,0.0,113.45
13,FA,398,8,0,0,0,0,0,0,0.0,0,0.0,109.08333333333334
14,IFD,417,6,0,0,0,0,0,0,0.0,0,0.0,68.0
18,IFD,445,9,0,0,0,0,0,0,0.0,0,0.0,81.93333333333334
19,IFD,446,6,0,0,0,0,0,0,0.0,0,0.0,64.66666666666667
20,IFD,449,6,0,0,0,0,0,0,0.0,0,0.0,73.93333333333334
24,IFD,516,7,0,0,0,0,0,0,0.0,0,0.0,95.96666666666667
29,IFD,545,8,0,0,0,0,0,0,0.0,0,0.0,76.66666666666667
43,IFD,609,8,0,0,0,0,0,0,0.0,0,0.0,88.63333333333333
49,FA,801,10,0,0,0,0,0,0,0.0,0,0.0,91.4
50,IFD,789,8,0,0,0,0,0,0,0.0,0,0.0,85.5
51,FA,796,8,0,0,0,0,0,0,0.0,0,0.0,80.58333333333334
52,IFD,806,1,0,0,0,0,0,0,0.0,0,0.0,9.166666666666666
53,IFD,784,6,0,0,0,0,0,0,0.0,0,0.0,61.66666666666667
54,FA,804,7,0,0,0,0,0,0,0.0,0,0.0,79.33333333333334
55,IFD,799,8,0,0,0,0,0,0,0.0,0,0.0,82.75
66,IFD,903,8,0,0,0,0,0,0,0.0,0,0.0,109.76666666666667
67,FA,906,8,0,0,0,0,0,0,0.0,0,0.0,111.18333333333334
68,IFD,918,7,0,0,0,0,0,0,0.0,0,0.0,69.91666666666667
70,IFD,901,8,0,0,0,0,0,0,0.0,0,0.0,78.66666666666667
71,FA,905,8,0,0,0,0,0,0,0.0,0,0.0,108.35000000000001
72,FA,907,8,0,0,0,0,0,0,0.0,0,0.0,114.91666666666667
73,IFD,900,8,0,0,0,0,0,0,0.0,0,0.0,86.98333333333333
74,FA,911,7,0,0,0,0,0,0,0.0,0,0.0,87.51666666666667
77,IFD,1032,8,0,0,0,0,0,0,0.0,0,0.0,122.15
83,IFD,1108,8,0,0,0,0,0,0,0.0,0,0.0,111.38333333333333
98,IFD,1194,9,0,0,0,0,0,0,0.0,0,0.0,94.19999999999999
100,FA,1204,8,0,0,0,0,0,0,0.0,0,0.0,82.5
101,IFD,1205,8,0,0,0,0,0,0,0.0,0,0.0,107.76666666666667
102,IFD,1207,9,0,0,0,0,0,0,0.0,0,0.0,90.7
