crew_id,rank,credited_hours,target_min,target_max,in_range,preassign_rest_days,required_dayoff,actual_dayoff,dayoff_ok
247,CA,88.75,75.0,,,0,12,13,True
274,CA,47.32,65.0,,,4,10,12,True
383,CA,55.3,75.0,,,0,12,20,True
499,CA,60.13,50.0,,,10,8,11,True
536,CA,59.83,52.5,,,9,8,11,True
572,CA,16.0,35.0,,,16,6,10,True
813,CA,36.17,52.5,,,9,8,12,True
996,CA,0.0,25.0,,,20,4,7,True
1427,CA,88.92,75.0,,,0,12,13,True
1475,FO,68.25,75.0,,,0,12,13,True
1568,CA,75.53,75.0,,,0,12,13,True
2126,FO,69.58,75.0,,,0,12,13,True
2224,CA,56.0,75.0,,,0,12,13,True
2227,CA,77.58,75.0,,,0,12,13,True
2229,FO,0,0.0,,,30,0,0,True
2368,FO,81.18,75.0,,,0,12,15,True
2377,FO,81.67,75.0,,,0,12,16,True
2427,FO,70.75,65.0,,,4,10,11,True
2440,CA,72.92,75.0,,,0,12,12,True
2564,CA,83.83,75.0,,,0,12,12,True
2696,CA,52.0,75.0,,,0,12,12,True
2697,FO,24.0,50.0,,,10,8,11,True
2903,FO,81.67,75.0,,,0,12,15,True
13030,FO,60.18,57.5,,,7,9,11,True
