crew_id,pairing_id,eligible,priority_weight
247,10012,1,7312.43
247,10086,1,7097.58
247,10098,1,7269.83
247,10139,1,7136.06
247,10147,1,7028.40
247,10166,1,7042.15
247,10170,1,7166.75
247,10189,1,7109.95
247,10205,1,7130.56
247,10232,1,7095.29
247,10241,1,7253.34
247,10271,1,7114.53
247,10288,1,7044.44
247,10289,0,7125.98
247,10311,1,7040.77
247,10321,1,7087.04
247,10356,0,7041.69
247,10359,1,7344.50
247,10379,1,7030.24
247,10393,1,7130.10
247,10420,1,7028.40
247,10421,0,7114.07
247,10432,0,7041.23
247,10442,1,7044.90
247,10445,0,7353.66
247,10458,1,7042.60
247,10483,1,7251.05
247,10484,0,7400.39
247,10501,1,7130.56
247,10504,0,7677.09
247,10533,1,7111.78
247,10552,1,7125.52
247,10577,1,7080.63
247,10605,1,7274.87
247,10635,1,7133.31
247,10662,1,7108.12
247,10678,1,7133.77
247,10703,1,7083.84
247,10713,1,7257.46
247,10734,1,7111.32
247,10735,1,7248.30
247,10757,0,7122.32
247,10779,1,7122.32
247,10785,1,7093.91
247,10813,0,7041.23
247,10814,1,7041.23
247,10838,1,7125.98
247,10866,0,7027.03
247,10879,1,7122.32
247,10901,1,7040.31
247,10923,1,7132.40
247,10939,1,7132.85
247,10964,1,7128.27
247,10983,1,7046.73
247,11003,1,7124.61
247,11009,1,7080.63
247,11053,1,42.60
247,11061,1,136.98
247,11072,1,178.21
247,11075,1,130.56
247,11100,1,126.90
247,11115,1,39.40
247,11117,0,39.40
247,11138,1,123.69
247,11142,1,87.04
247,11143,0,87.04
247,11172,1,7110.86
247,11192,1,7042.60
247,11209,1,7120.03
247,11214,1,7097.12
247,11215,0,7097.12
247,11245,1,700.00
247,11268,1,7133.77
247,11310,1,7127.81
247,11347,1,7137.89
247,11359,1,7134.23
247,11384,1,7124.15
247,11416,1,7128.73
247,11421,0,7094.37
247,11422,1,7094.37
247,11470,1,144.76
247,11481,1,137.89
247,11506,1,117.28
247,11522,0,43.98
247,11540,1,137.89
247,11544,1,94.37
247,11572,1,7124.15
247,11593,1,7043.98
247,11607,1,7128.73
247,11614,0,7094.37
247,11615,1,7094.37
247,11642,1,7050.85
247,11644,1,7117.28
247,11668,1,7137.89
247,11674,1,7174.54
247,11700,1,7032.53
247,11707,1,7128.73
247,11739,1,7117.28
247,11759,1,7043.98
247,11775,1,7137.89
247,11780,1,7071.47
247,11792,1,7174.54
247,11794,0,7174.54
247,11809,1,7124.15
247,11826,1,7043.98
247,11841,1,7128.73
247,11846,1,7094.37
247,11878,1,124.15
247,11897,1,43.98
