seniority,rank,crew_id,assigned,pref_slots,award_got,award_wanted,avoid_got,avoid_wanted,award_in_assigned,award_in_assigned_ratio,avoid_in_assigned,avoid_in_assigned_ratio,total_work_hours
6,CA,247,13,172,13,172,0,86,13,1.0,0,0.0,113.91666666666664
9,CA,274,10,0,0,0,0,0,0,0.0,0,0.0,93.71666666666665
13,CA,383,10,0,0,0,0,0,0,0.0,0,0.0,53.78333333333333
17,CA,499,9,0,0,0,0,0,0,0.0,0,0.0,66.86666666666666
24,CA,536,9,159,9,159,0,0,9,1.0,0,0.0,81.81666666666668
27,CA,572,4,0,0,0,0,0,0,0.0,0,0.0,64.68333333333334
38,CA,813,6,0,0,0,0,0,0,0.0,0,0.0,44.25
53,CA,996,0,0,0,0,0,122,0,0.0,0,0.0,36.43333333333333
96,CA,1427,16,0,0,0,0,0,0,0.0,0,0.0,124.23333333333333
113,FO,1475,12,0,0,0,0,0,0,0.0,0,0.0,81.6
125,CA,1568,16,0,0,0,0,0,0,0.0,0,0.0,129.03333333333333
161,FO,2126,14,0,0,0,0,0,0,0.0,0,0.0,91.35
175,CA,2224,14,150,14,150,0,0,14,1.0,0,0.0,178.9166666666666
180,CA,2227,16,296,16,296,0,0,16,1.0,0,0.0,125.45
182,FO,2229,0,81,0,81,0,16,0,0.0,0,0.0,0.0
190,FO,2368,15,0,0,0,0,0,0,0.0,0,0.0,106.31666666666666
193,FO,2377,12,254,12,254,0,179,12,1.0,0,0.0,98.08333333333333
201,FO,2427,13,0,0,0,0,0,0,0.0,0,0.0,129.33333333333334
204,CA,2440,18,0,0,0,0,277,0,0.0,0,0.0,186.6666666666666
217,CA,2564,16,0,0,0,0,0,0,0.0,0,0.0,191.68333333333334
2696,CA,2696,13,0,0,0,1,122,0,0.0,1,0.076923,164.16666666666669
2697,FO,2697,6,0,0,0,2,126,0,0.0,2,0.333333,101.45
2903,FO,2903,15,0,0,0,0,0,0,0.0,0,0.0,95.0
13030,FO,13030,11,0,0,0,0,0,0,0.0,0,0.0,88.20000000000002
