    ruleId:2014014	 override-bility:S  source:Company func:00002014	 severity:1 phase:1 class:B description:Local Night Definition talbe0 row1   		params: LOCAL NIGHT END=09:30, LOCAL NIGHT START=22:30, MIN INTERVAL HOURS=09:00, 
    ruleId:7272001	 override-bility:S  source:Company func:00007272	 severity:2 phase:1 class:R description:Calculate DP of the Reserves talbe0 row1   		params: ASSIGNMENTS=SBY|PRAM|PRPM, NOTIFICATION LIMIT=00:00, RATE=0.33, SBY LIMIT=00:00, STANDBY OFFSET=00:00, 
    ruleId:7500002	 override-bility:H  source:Company func:00007500	 severity:2 phase:1 class:R description:Basic definition of Acc State talbe1 row1   		params: STAY DURATION=72:00-96:00, TZ DIFF=00:00-04:00, 
    ruleId:7500002	 override-bility:H  source:Company func:00007500	 severity:2 phase:1 class:R description:Basic definition of Acc State talbe1 row2   		params: STAY DURATION=96:00-999:00, TZ DIFF=04:00-24:00, 
    ruleId:7500002	 override-bility:H  source:Company func:00007500	 severity:2 phase:1 class:R description:Basic definition of Acc State talbe2 row1   		params: ACC TIME ZONE ADJUST X HOURS=01:00, STAY DURATION PER X HOURS=24:00, 
    ruleId:7501004	 override-bility:S  source:F8 func:00007501	 severity:1 phase:1 class:R description:Single Day Free from Duty in Rolling Hours talbe0 row1   		params: BASES=*, DUTY END BUFFER=00:00, FLEETS=*, MIN LIMITS=1, PERIOD=168, RANKS=*, TEAMS=*, UNIT=RH, 
    ruleId:7501004	 override-bility:S  source:F8 func:00007501	 severity:1 phase:1 class:R description:Single Day Free from Duty in Rolling Hours talbe0 row2   		params: BASES=*, DUTY END BUFFER=00:00, FLEETS=*, MIN LIMITS=4, PERIOD=672, RANKS=*, TEAMS=*, UNIT=RH, 
    ruleId:7502002	 override-bility:S  source:F8 func:00007502	 severity:1 phase:1 class:R description:The Calculation of Credit Hours talbe0 row1   		params: ASSIGNMENT GROUPS=VAC|SBY, ASSIGNMENTS=*, BASES=*, DP RATIO=*, FLEETS=*, FT RATIO=*, MINIMUM CH=04:00, RANKS=*, SPLIT METHOD(SPAN/START)=START, TEAMS=*, 
    ruleId:7502002	 override-bility:S  source:F8 func:00007502	 severity:1 phase:1 class:R description:The Calculation of Credit Hours talbe0 row2   		params: ASSIGNMENT GROUPS=FLY, ASSIGNMENTS=*, BASES=*, DP RATIO=*, FLEETS=*, FT RATIO=1.0, MINIMUM CH=*, RANKS=*, SPLIT METHOD(SPAN/START)=START, TEAMS=*, 
    ruleId:7502002	 override-bility:S  source:F8 func:00007502	 severity:1 phase:1 class:R description:The Calculation of Credit Hours talbe0 row3   		params: ASSIGNMENT GROUPS=GND, ASSIGNMENTS=*, BASES=*, DP RATIO=0.5, FLEETS=*, FT RATIO=*, MINIMUM CH=*, RANKS=*, SPLIT METHOD(SPAN/START)=START, TEAMS=*, 
    ruleId:7503003	 override-bility:S  source:F8 func:00007503	 severity:1 phase:1 class:R description:Limits of Consecutive WOCLs talbe0 row1   		params: BASES=*, FLEETS=*, MAX CONSECUTIVE WOCLS=3, RANKS=*, TEAMS=*, WOCL END=05:59, WOCL START=02:00, 
    ruleId:7504003	 override-bility:S  source:F8 func:00007504	 severity:1 phase:1 class:R description:Spacing Rule - WOCL talbe0 row1   		params: APPLY PRELABELLED ATTRIBUTES=N, BASES=*, FLEETS=*, LEVEL=D, MIN PERIOD=55, NEXT ASSIGNMENT GROUPS=*, NEXT ASSIGNMENTS=FLY, NEXT ATTRIBUTES=WOCL, PREV ASSIGNMENT GROUPS=*, PREV ASSIGNMENTS=FLY, PREV ATTRIBUTES=WOCL, RANKS=*, TEAMS=*, UNIT=RH, UTILIZE POST REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row1   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=0-0, MIN DO=13, PERIOD=1, RANKS=*, RP DAYS RANGE=31-31, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row2   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=1-2, MIN DO=12, PERIOD=1, RANKS=*, RP DAYS RANGE=31-31, UNIT=RP, UTILIZE POST DUTY REST=Y, 
