airline,, assignmentGroup,DHD, assignemnt,PAX, name,Deadhead, roIndicator,N, 
airline,, assignmentGroup,GND, assignemnt,BRF, name,Ground Duties, roIndicator,N, 
airline,, assignmentGroup,TRN, assignemnt,SIM, name,Training, roIndicator,N, 
airline,, assignmentGroup,TRN, assignemnt,TRN, name,Training, roIndicator,N, 
airline,, assignmentGroup,LVE, assignemnt,DO, name,Leave, roIndicator,N, 
airline,, assignmentGroup,FLT, assignemnt,FLT, name,Flight Duties, roIndicator,N, 
airline,, assignmentGroup,LVE, assignemnt,SL, name,Leave, roIndicator,N, 
airline,, assignmentGroup,ADM, assignemnt,MED, name,Administration, roIndicator,N, 
airline,, assignmentGroup,LVE, assignemnt,CL, name,Leave, roIndicator,N, 
airline,, assignmentGroup,FLT, assignemnt,IOE, name,Flight Duties, roIndicator,N, 
airline,, assignmentGroup,LVE, assignemnt,ML, name,Leave, roIndicator,N, 
airline,, assignmentGroup,SBY, assignemnt,SBY, name,Standby, roIndicator,N, 
airline,, assignmentGroup,GND, assignemnt,OFC, name,Ground Duties, roIndicator,N, 
airline,, assignmentGroup,DHD, assignemnt,DHD, name,Deadhead, roIndicator,N, 
airline,, assignmentGroup,SBY, assignemnt,ASBY, name,Standby, roIndicator,N, 
airline,, assignmentGroup,ADM, assignemnt,MTG, name,Administration, roIndicator,N, 
airline,, assignmentGroup,LVE, assignemnt,PH, name,Leave, roIndicator,N, 
airline,, assignmentGroup,TRN, assignemnt,CRE, name,Training, roIndicator,N, 
airline,, assignmentGroup,LVE, assignemnt,AL, name,Leave, roIndicator,N, 
airline,, assignmentGroup,SBY, assignemnt,PRAM, name,Standby, roIndicator,N, 
airline,, assignmentGroup,SBY, assignemnt,PRPM, name,Standby, roIndicator,N, 
