seniority,rank,crew_id,assigned,pref_slots,award_got,award_wanted,avoid_got,avoid_wanted,award_in_assigned,award_in_assigned_ratio,avoid_in_assigned,avoid_in_assigned_ratio,total_work_hours
6,CA,247,0,0,0,0,0,39,0,0.0,0,0.0,31.46666666666667
9,CA,274,1,0,0,0,0,0,0,0.0,0,0.0,108.63333333333333
13,CA,383,0,0,0,0,0,0,0,0.0,0,0.0,82.78333333333333
17,CA,499,0,0,0,0,0,0,0,0.0,0,0.0,74.38333333333333
24,CA,536,0,161,0,161,0,0,0,0.0,0,0.0,77.39999999999999
27,CA,572,2,0,0,0,0,0,0,0.0,0,0.0,64.85000000000001
38,CA,813,2,0,0,0,0,0,0,0.0,0,0.0,27.950000000000003
53,CA,996,1,0,0,0,0,122,0,0.0,0,0.0,70.16666666666666
96,CA,1427,1,0,0,0,0,0,0,0.0,0,0.0,36.400000000000006
113,FO,1475,7,0,0,0,0,0,0,0.0,0,0.0,84.31666666666666
125,CA,1568,0,0,0,0,0,0,0,0.0,0,0.0,91.33333333333333
161,FO,2126,2,0,0,0,0,0,0,0.0,0,0.0,114.15
175,CA,2224,1,150,0,150,0,0,0,0.0,0,0.0,90.96666666666665
180,CA,2227,1,296,1,296,0,0,1,1.0,0,0.0,90.36666666666667
182,FO,2229,0,82,0,82,0,16,0,0.0,0,0.0,0.0
190,FO,2368,0,0,0,0,0,0,0,0.0,0,0.0,104.30000000000001
193,FO,2377,0,255,0,255,0,180,0,0.0,0,0.0,97.64999999999999
201,FO,2427,0,0,0,0,0,0,0,0.0,0,0.0,109.11666666666666
204,CA,2440,0,0,0,0,0,278,0,0.0,0,0.0,104.36666666666666
217,CA,2564,0,0,0,0,0,0,0,0.0,0,0.0,51.483333333333334
2696,CA,2696,4,0,0,0,0,122,0,0.0,0,0.0,71.51666666666667
2697,FO,2697,0,0,0,0,0,127,0,0.0,0,0.0,29.45
2903,FO,2903,0,0,0,0,0,0,0,0.0,0,0.0,88.96666666666667
13030,FO,13030,0,0,0,0,0,0,0,0.0,0,0.0,63.36666666666667
